umpire_id,umpire_name,n_games,avg_runs,avg_k,avg_bb,runs_vs_league,k_vs_league,bb_vs_league
691042,Willie Traynor,29,10.655172413793103,16.75862068965517,8.517241379310345,1.149375880067335,0.986599614985704,1.216666316160887
544728,Nic Lentz,27,8.962962962962964,16.296296296296298,7.703703703703703,0.9668368603994437,0.9593820368249951,1.1004545237790477
427128,Rob Drake,27,8.592592592592593,16.40740740740741,6.074074074074074,0.9268849240193014,0.9659232779851655,0.8676660668257877
598411,Nestor Ceja,27,8.74074074074074,16.62962962962963,6.2592592592592595,0.9428656985713583,0.9790057603055062,0.8941193005704764
623946,Malachi Moore,27,10.25925925925926,16.962962962962962,6.925925925925926,1.1066686377299417,0.9986294837860175,0.9893509420513554
482631,Mike Estabrook,26,8.384615384615385,17.26923076923077,5.730769230769231,0.9044503751289138,1.0166598280095642,0.8186258411914034
483561,Lance Barrett,26,9.0,16.576923076923077,6.461538461538462,0.9708320540374579,0.9759028638577331,0.9230143712762132
554242,Edwin Moscoso,26,7.538461538461538,17.73076923076923,6.346153846153846,0.8131755666296655,1.0438311374441183,0.9065319717891379
605674,Ryan Wills,26,6.884615384615385,17.76923076923077,5.961538461538462,0.7426450327893375,1.046095413230331,0.8515906401655539
483912,Mike Muchlinski,26,10.0,17.423076923076923,7.269230769230769,1.0787022822638421,1.0257169311544156,1.0383911676857398
504381,Will Little,25,9.24,17.28,7.32,0.9967209088117901,1.017293825229704,1.045643423460053
483569,Vic Carapazza,25,9.96,16.44,7.08,1.0743874731347869,0.9678420420588155,1.0113600325269365
483919,Mark Ripperger,25,8.96,16.84,7.36,0.9665172449084026,0.9913905102354289,1.0513573219489056
427315,Alfonso Márquez,25,13.12,16.56,7.92,1.4152573943301607,0.9749065825117994,1.131351900792844
427344,Bill Miller,25,9.56,17.24,6.4,1.0312393818442331,1.0149389784120424,0.9142237582164398
676581,James Jean,25,9.0,16.08,6.96,0.9708320540374579,0.9466484206998631,0.9942183370603782
607884,Paul Clemons,25,8.16,17.24,6.04,0.8802210623272951,1.0149389784120424,0.862798671816765
427113,Laz Diaz,25,7.76,17.12,6.68,0.8370729710367414,1.0078744379590585,0.9542210476384089
503077,Adam Hamari,24,9.458333333333334,15.916666666666666,7.333333333333333,1.020272575307884,0.9370327961944127,1.0475480562896704
484198,Alan Porter,24,8.875,17.833333333333332,7.0,0.9573482755091598,1.0498692062073525,0.9999322355492309
608158,Nate Tomlinson,24,9.458333333333334,15.458333333333334,6.791666666666667,1.020272575307884,0.9100501764087098,0.9701723475864562
596740,Jansen Visconti,24,9.583333333333334,17.25,6.875,1.033756353836182,1.0155276901164578,0.9820763027715661
427013,Lance Barksdale,24,7.875,16.708333333333332,8.5,0.8494780472827757,0.9836391394606269,1.214203428881209
644760,Adam Beck,24,9.875,16.625,7.041666666666667,1.065218503735544,0.9787332085904992,1.005884213141786
521051,Nick Mahrley,24,10.166666666666666,17.5,7.583333333333333,1.096680653634906,1.0302454827268412,1.083259921845
521251,Ben May,24,10.083333333333334,16.916666666666668,7.708333333333333,1.087691467949374,0.9959039666359466,1.101115854622665
521889,Stu Scheurwater,24,8.666666666666666,17.458333333333332,7.125,0.9348753112953297,1.0277925172917772,1.0177881683268957
427537,Hunter Wendelstedt,24,8.541666666666666,17.166666666666668,6.583333333333333,0.9213915327670317,1.01062175924633,0.9404124596236815
665297,Tom Hanahan,24,8.5,16.791666666666668,8.0,0.9168969399242658,0.9885450703307549,1.1427796977705496
427197,Chris Guccione,24,10.0,16.625,7.958333333333333,1.0787022822638421,0.9787332085904992,1.1368277201779946
427129,Bruce Dreckman,24,9.041666666666666,16.916666666666668,6.916666666666667,0.9753266468802239,0.9959039666359466,0.988028280364121
489985,Chad Whitson,24,8.5,14.541666666666666,6.333333333333333,0.9168969399242658,0.8560849368373037,0.9047005940683518
503586,Tripp Gibson,23,9.91304347826087,17.47826086956522,8.043478260869565,1.0693222624180696,1.0289656746737645,1.1489904569975633
503502,Ryan Blakney,23,7.826086956521739,17.0,6.260869565217392,0.8442017861195286,1.0008098975060744,0.8943493286899954
511890,Quinn Wolcott,23,8.304347826086957,17.73913043478261,6.695652173913044,0.8957918952712776,1.0443233713106863,0.956456920960134
490319,Jordan Baker,23,8.434782608695652,15.521739130434783,6.608695652173913,0.9098619250399363,0.9137829498968505,0.9440354025061062
605670,Dan Merzel,23,9.91304347826087,17.17391304347826,7.217391304347826,1.0693222624180696,1.011048361930689,1.0309860316843003
483564,Dan Bellino,23,9.26086956521739,15.695652173913043,6.304347826086956,0.9989721135747754,0.924021414321465,0.9005600879170091
621660,Emil Jimenez,23,11.217391304347826,17.608695652173914,7.173913043478261,1.2100225601046577,1.0366445229922254,1.0247752724572863
483630,John Tumpane,23,8.173913043478262,16.782608695652176,6.478260869565218,0.8817218655026188,0.9880118169753063,0.9254031248250647
623938,Erich Bacchus,23,9.652173913043478,16.91304347826087,6.826086956521739,1.041182202880752,0.9956906652937672,0.9750891986411755
623949,Clint Vondrak,23,8.956521739130435,15.869565217391305,5.782608695652174,0.9661420441145717,0.9342598787460796,0.8260309771928429
639723,Brennan Miller,23,9.0,17.304347826086957,7.043478260869565,0.9708320540374579,1.0187272102491498,1.0061429947762448
431232,Chad Fairchild,23,9.478260869565217,14.695652173913043,6.739130434782608,1.0224221631892068,0.8651502438799312,0.9626676801871478
427533,Mark Wegner,23,10.08695652173913,17.565217391304348,7.739130434782608,1.0880823021096147,1.0340849068860716,1.1055151424084664
665281,Brian Walsh,23,10.26086956521739,16.26086956521739,6.6521739130434785,1.1068423418011597,0.9572964237014624,0.9502461617331202
427248,Dan Iassogna,23,10.652173913043478,18.26086956521739,6.565217391304348,1.1490524311071362,1.0750387645845298,0.9378246432790923
427139,Doug Eddings,23,10.043478260869565,16.956521739130434,5.695652173913044,1.0833922921867283,0.9982502813999207,0.8136094587388153
605673,Alex Tosi,22,9.181818181818182,16.727272727272727,6.590909090909091,0.9904448228058913,0.9847541237492924,0.9414946373677824
623945,Alex MacKay,22,8.681818181818182,20.272727272727273,7.636363636363637,0.9365097086926992,1.1934791825874576,1.0908351660537066
658292,Derek Thomas,22,10.772727272727273,17.136363636363637,7.363636363636363,1.1620565495296844,1.0088377843844654,1.051876767266074
658325,Tyler Jones,22,8.909090909090908,16.863636363636363,7.136363636363637,0.961025669653241,0.9927820106276833,1.0194114349430472
596809,Ryan Additon,22,9.454545454545455,18.636363636363637,7.318181818181818,1.0198639759585417,1.097144540046766,1.0453837008014688
596805,John Libka,22,8.363636363636363,17.09090909090909,5.7272727272727275,0.9021873633479406,1.0061618220916682,0.8181263745402799
573597,Gabe Morales,22,8.318181818181818,16.363636363636363,6.409090909090909,0.8972841711558323,0.9633464254069164,0.9155223715093608
429805,Todd Tichenor,22,8.636363636363637,15.5,6.2272727272727275,0.9316065165005909,0.9125031418437737,0.8895501056509393
575629,Shane Livensparger,22,8.727272727272727,16.5,6.545454545454546,0.9414129008848076,0.9713743122853075,0.935001570903177
427243,Marvin Hudson,22,6.863636363636363,16.272727272727273,6.636363636363637,0.7403820210083643,0.9579945008213225,0.9479877038323878
482620,Chris Conroy,22,9.136363636363637,17.136363636363637,7.090909090909091,0.985541630613783,1.0088377843844654,1.0129183684784417
427554,Jim Wolf,22,9.772727272727273,18.136363636363637,7.2272727272727275,1.0541863213033003,1.067708954825999,1.032397567872258
482663,David Rackley,22,8.681818181818182,16.681818181818183,6.2727272727272725,0.9365097086926992,0.9820781614564955,0.8960431721155445
503493,Sean Barber,22,9.545454545454545,16.636363636363637,7.863636363636363,1.0296703603427584,0.9794021991636984,1.1233004983767334
503490,Chris Segal,22,8.636363636363637,17.363636363636363,6.636363636363637,0.9316065165005909,1.0222175958484503,0.9479877038323878
428442,James Hoye,22,9.954545454545455,16.40909090909091,7.7727272727272725,1.0737990900717338,0.9660223876997135,1.1103143654475227
484499,Manny Gonzalez,22,7.7727272727272725,16.90909090909091,5.818181818181818,0.8384458648505317,0.9954579729204804,0.8311125074694907
484183,Cory Blaser,21,8.285714285714286,19.095238095238095,5.809523809523809,0.893781891018612,1.1241590165264308,0.8298757329048039
482608,Scott Barry,21,8.380952380952381,17.333333333333332,6.761904761904762,0.9040552460877915,1.0204336209865856,0.9659209350203455
482666,D.J. Reyburn,21,8.476190476190476,18.19047619047619,5.857142857142857,0.9143286011569709,1.070894624222186,0.8366779930105809
594151,Ramon De Jesus,21,8.904761904761905,17.095238095238095,8.523809523809524,0.9605586989682785,1.0064166756433632,1.2176045589340976
608093,Junior Valentine,21,8.428571428571429,16.095238095238095,7.0476190476190474,0.9091919236223812,0.9475455052018295,1.006734495655008
605672,Jeremie Rehak,21,9.714285714285714,17.047619047619047,5.666666666666667,1.0478822170563036,1.0036132865747187,0.8094689525874728
547380,Carlos Torres,21,7.761904761904762,18.19047619047619,6.714285714285714,0.8372784381381251,1.070894624222186,0.9591186749145685
427366,Brian O'Nora,20,8.3,16.75,6.5,0.895322894278989,0.9860921048956909,0.9285085044385716
577468,Roberto Ortiz,20,9.1,17.0,6.95,0.9816190768600962,1.0008098975060744,0.992789862438165
665298,Dexter Kelley,19,10.578947368421053,17.0,6.7368421052631575,1.1411534670264856,1.0008098975060744,0.9623407981225681
658082,Jacob Metz,19,8.210526315789474,16.736842105263158,6.7894736842105265,0.8856713475429441,0.9853174842319865,0.9698590856079007
605671,Charlie Ramos,19,8.894736842105264,16.31578947368421,8.0,0.9594772931715227,0.9605296229934459,1.1427796977705496
658536,Austin Jones,18,9.11111111111111,18.0,7.388888888888889,0.9828176349515005,1.059681067947608,1.0554840264130771
427292,Ron Kulpa,18,10.0,17.944444444444443,7.444444444444445,1.0787022822638421,1.0564104473675229,1.0634199965364837
665576,Brock Ballou,18,8.333333333333334,15.722222222222221,7.388888888888889,0.8989185685532018,0.9255856241641145,1.0554840264130771
668921,Jen Pawol,18,11.722222222222221,17.555555555555557,8.11111111111111,1.2644787864315037,1.0335161033069264,1.1586516380173628
676580,Steven Jaschinski,17,10.647058823529411,16.294117647058822,7.823529411764706,1.1485006652338554,0.9592537771944034,1.1175713220844345
545402,John Bacon,17,7.823529411764706,16.529411764705884,5.235294117647059,0.8439259031828882,0.9731058172982938,0.7478484786880802
665302,Dillon Wilson,16,10.0625,18.6875,6.5,1.085444171527991,1.1001549976261626,0.9285085044385716
427164,Andy Fletcher,16,11.5,17.5,7.5625,1.2405076246034183,1.0302454827268412,1.0802839330487226
664263,Edwin Jimenez,15,10.733333333333333,16.133333333333333,6.666666666666667,1.1578071162965238,0.949788216456745,0.9523164148087914
485856,Jonathan Parra,15,9.933333333333334,17.2,8.8,1.0715109337154165,1.012584131594381,1.2570576675476046
482641,Adrian Johnson,15,11.333333333333334,16.4,8.0,1.2225292532323544,0.965487195241154,1.1427796977705496
665299,Louie Krupa,14,10.571428571428571,17.357142857142858,6.642857142857143,1.1403424126789188,1.021835315520908,0.9489152847559029
681849,Felix Neon,13,8.0,16.615384615384617,7.230769230769231,0.8629618258110736,0.9781671396439461,1.0328970345233814
682954,Mitch Trzeciak,9,10.666666666666666,18.0,10.0,1.1506157677480982,1.059681067947608,1.428474622213187
688057,Matt Blackborow,8,9.375,17.0,8.75,1.0112833896223519,1.0008098975060744,1.2499152944365386
690888,Austin Snow,8,10.25,15.5,7.5,1.105669839320438,0.9125031418437737,1.0713559666598902
677388,Pete Talkington,8,13.5,18.875,10.0,1.4562480810561869,1.1111933420839502,1.428474622213187
690896,Sean Sparling,7,8.428571428571429,14.285714285714286,5.571428571428571,0.9091919236223812,0.8410167205933399,0.7958644323759184
665280,Darius Ghani,7,7.142857142857143,16.0,6.714285714285714,0.7705016301884586,0.9419387270645405,0.9591186749145685
681791,Bryan Van Vranken,7,14.714285714285714,20.285714285714285,10.571428571428571,1.5872333581882248,1.1942437432425423,1.510101743482512
